step,epoch,lossD,lossG,loss_gan,loss_spec,loss_fm,loss_evasion,inst_noise,delta,lambda_evasion,p_bona_mean
9400,4,-0.113616943359375,-186.90072631835938,-192.77818298339844,5.554832458496094,0.11926516145467758,0.20336885750293732,0.0078114082822046725,0.0078114082822046725,0.29333333333333333,0.4998849630355835
9500,4,-0.05458831787109375,-205.7648162841797,-212.83258056640625,6.752871036529541,0.10584525763988495,0.20905031263828278,0.007733679604045041,0.007733679604045041,0.3,0.49865955114364624
9600,4,0.07850496470928192,-197.63148498535156,-203.951904296875,5.999879360198975,0.11717870086431503,0.20336288213729858,0.007656724377635744,0.007656724377635744,0.30666666666666664,0.5149961709976196
9700,4,-0.154632568359375,-199.89035034179688,-207.02206420898438,6.778594970703125,0.13539771735668182,0.21772374212741852,0.007580534906620378,0.007580534906620378,0.31333333333333335,0.5012069940567017
9800,4,-0.3484458923339844,-224.6354522705078,-231.8399200439453,6.842469692230225,0.14040207862854004,0.2216009497642517,0.007505103571226368,0.007505103571226368,0.32,0.500452995300293
9900,4,-0.17683792114257812,-222.48712158203125,-228.95486450195312,6.13456916809082,0.1073545441031456,0.2258222997188568,0.007430422827502919,0.007430422827502919,0.32666666666666666,0.5004948377609253
10000,4,0.01366579532623291,-260.9952087402344,-267.0494689941406,5.679317951202393,0.14399084448814392,0.2309505194425583,0.007356485206566541,0.007356485206566541,0.3333333333333333,0.4997769892215729
10100,4,-0.14118576049804688,-193.36422729492188,-200.70880126953125,6.963651657104492,0.1311057060956955,0.249813973903656,0.0072832833138540675,0.0072832833138540675,0.34,0.4815627932548523
10200,4,-0.16765975952148438,-209.77565002441406,-215.15438842773438,5.030879020690918,0.10600706189870834,0.24185727536678314,0.007210809828383119,0.007210809828383119,0.3466666666666667,0.4961012005805969
10300,4,-0.2057647705078125,-263.53863525390625,-268.9720458984375,5.061237335205078,0.1256008744239807,0.24656586349010468,0.007139057502019954,0.007139057502019954,0.35333333333333333,0.5010306239128113
10400,4,0.08380274474620819,-227.56138610839844,-234.0142822265625,6.088315486907959,0.1184721440076828,0.24610865116119385,0.007068019158754531,0.007068019158754531,0.36,0.5034044981002808
10500,4,-0.161041259765625,-217.608154296875,-223.56784057617188,5.589003562927246,0.11589406430721283,0.2547847628593445,0.006997687693982872,0.006997687693982872,0.36666666666666664,0.500733494758606
10600,4,-0.06671524047851562,-206.90869140625,-213.1841583251953,5.90739631652832,0.10963965952396393,0.2584378123283386,0.006928056073796494,0.006928056073796494,0.37333333333333335,0.5007721185684204
10700,4,-0.1629638671875,-250.2847137451172,-255.5298614501953,4.87328577041626,0.10933073610067368,0.2625328302383423,0.0068591173342789635,0.0068591173342789635,0.38,0.5005536079406738
10800,4,-0.024918794631958008,-247.9059295654297,-254.08819580078125,5.7800469398498535,0.13440649211406708,0.2678196132183075,0.00679086458080941,0.00679086458080941,0.38666666666666666,0.5000704526901245
10900,4,-0.10921096801757812,-206.84986877441406,-211.9812469482422,4.760000228881836,0.0977143794298172,0.27365994453430176,0.006723290987373017,0.006723290987373017,0.3933333333333333,0.49887046217918396
11000,4,-0.0944671630859375,-254.0018310546875,-259.17919921875,4.796246528625488,0.1035315990447998,0.27758899331092834,0.006656389795878315,0.006656389795878315,0.4,0.499844491481781
11100,4,-0.16388320922851562,-206.36541748046875,-212.1119842529297,5.360028266906738,0.10997366905212402,0.2765668034553528,0.0065901543154813225,0.0065901543154813225,0.4066666666666667,0.49315255880355835
11200,4,0.076844722032547,-226.00550842285156,-231.35479736328125,4.950443744659424,0.10905846208333969,0.28979912400245667,0.006524577921916372,0.006524577921916372,0.41333333333333333,0.5008112192153931
11300,4,-0.08727645874023438,-237.27122497558594,-243.33839416503906,5.668363094329834,0.10848058760166168,0.2903286814689636,0.006459654056833634,0.006459654056833634,0.42,0.49970942735671997
11400,4,-0.11225509643554688,-237.45379638671875,-243.27748107910156,5.427570343017578,0.11695046722888947,0.279178261756897,0.006395376227143177,0.006395376227143177,0.4266666666666667,0.5239725112915039
11500,4,-0.18471527099609375,-218.41397094726562,-224.29083251953125,5.456470966339111,0.11933910846710205,0.30106279253959656,0.006331738004365627,0.006331738004365627,0.43333333333333335,0.4993665814399719
11600,4,0.06636075675487518,-242.73104858398438,-247.93173217773438,4.772054672241211,0.12512092292308807,0.30351778864860535,0.006268733023989215,0.006268733023989215,0.44,0.5007238984107971
11700,4,-0.20086669921875,-230.27200317382812,-237.33863830566406,6.633569240570068,0.12361394613981247,0.3094541132450104,0.006206354984833287,0.006206354984833287,0.44666666666666666,0.5000768303871155
11800,4,-0.10727691650390625,-260.6834716796875,-266.96343994140625,5.829380035400391,0.13511493802070618,0.3155042827129364,0.006144597648418097,0.006144597648418097,0.4533333333333333,0.4978579878807068
11900,4,-0.18707275390625,-283.0841979980469,-289.3262939453125,5.805692672729492,0.115868479013443,0.32052427530288696,0.006083454838340894,0.006083454838340894,0.46,0.49800264835357666
12000,4,0.10008454322814941,-271.3508605957031,-278.8294372558594,7.029817581176758,0.12402307987213135,0.32473212480545044,0.006022920439658229,0.006022920439658229,0.4666666666666667,0.49867722392082214
12100,4,-0.17388916015625,-269.9427490234375,-275.38519287109375,4.999673843383789,0.1145840585231781,0.3281826078891754,0.005962988398274375,0.005962988398274375,0.47333333333333333,0.5000019073486328
12200,4,-0.1845855712890625,-257.7597351074219,-263.85577392578125,5.650272369384766,0.11262552440166473,0.3331344425678253,0.0059036527203358705,0.0059036527203358705,0.48,0.4993605315685272
12300,4,-0.0975494384765625,-289.04400634765625,-294.70196533203125,5.224698543548584,0.09642165154218674,0.3368166983127594,0.0058449074716320475,0.0058449074716320475,0.4866666666666667,0.5000308752059937
12400,4,0.027323663234710693,-266.7437438964844,-272.5761413574219,5.39145040512085,0.09963427484035492,0.3413044512271881,0.005786746777001564,0.005786746777001564,0.49333333333333335,0.5004608631134033
12500,5,-0.197845458984375,-294.00732421875,-299.84942626953125,5.366543292999268,0.12807385623455048,0.34748631715774536,0.005729164819744829,0.005729164819744829,0.5,0.499133825302124
12600,5,-0.08083724975585938,-234.08258056640625,-240.79965209960938,6.24087381362915,0.12521885335445404,0.3509790003299713,0.0056721558410422375,0.0056721558410422375,0.5066666666666667,0.500353217124939
12700,5,-0.118255615234375,-272.51275634765625,-278.13323974609375,5.169286727905273,0.09493743628263474,0.3562512993812561,0.00561571413937827,0.00561571413937827,0.5133333333333333,0.49970579147338867
12800,5,0.09532971680164337,-250.9551239013672,-257.880615234375,6.456315994262695,0.10828753560781479,0.3608803451061249,0.005559834069971243,0.005559834069971243,0.52,0.4996408224105835
12900,5,-0.17520523071289062,-248.9839630126953,-255.0365447998047,5.584589004516602,0.10266946256160736,0.36531057953834534,0.005504510044208794,0.005504510044208794,0.5266666666666666,0.49982887506484985
13000,5,-0.05321502685546875,-291.3475646972656,-298.74127197265625,6.902155876159668,0.12153750658035278,0.36998918652534485,0.005449736529088935,0.005449736529088935,0.5333333333333333,0.4996289014816284
13100,5,-0.107696533203125,-275.5528564453125,-282.09527587890625,6.043008804321289,0.1257086545228958,0.3737103044986725,0.005395508046666712,0.005395508046666712,0.54,0.5005707740783691
13200,5,-0.018660128116607666,-319.3189392089844,-324.9053039550781,5.1040496826171875,0.10297773778438568,0.37935107946395874,0.005341819173506354,0.005341819173506354,0.5466666666666666,0.499769926071167
13300,5,-0.101409912109375,-289.1713562011719,-294.9239501953125,5.258504390716553,0.10983730852603912,0.3842611014842987,0.005288664540138853,0.005288664540138853,0.5533333333333333,0.499578595161438
13400,5,-0.16973114013671875,-285.2420349121094,-291.3145446777344,5.591849327087402,0.09188517928123474,0.38875240087509155,0.0052360388305249805,0.0052360388305249805,0.56,0.49960583448410034
13500,5,-0.21974945068359375,-283.29107666015625,-289.5665283203125,5.742528438568115,0.12962345778942108,0.4032963514328003,0.0051839367815236055,0.0051839367815236055,0.5666666666666667,0.4930822253227234
13600,5,-0.006200172007083893,-275.5575256347656,-281.78912353515625,5.726639747619629,0.10845272243022919,0.3964892625808716,0.0051323531823653235,0.0051323531823653235,0.5733333333333334,0.5018067359924316
13700,5,-0.07274627685546875,-255.89712524414062,-262.8008117675781,6.39285135269165,0.10896062850952148,0.40188586711883545,0.005081282874131347,0.005081282874131347,0.58,0.5001177787780762
